
==================================================================================================================================
🏆 EXHAUSTIVE ANOMALIES REPORT (Factors appearing in >= 2 puzzles)
Sorted by Frequency (Count) -> then by Factor Size
Factor                              | Remainder    | Count    | Coverage %   | Puzzles
----------------------------------------------------------------------------------------------------------------------------------
31                                  | 13           | 9        |  14.75%       | [27, 28, 38, 41, 51, 58, 75, 100, 125]
23                                  | 0            | 9        |  14.75%       | [22, 32, 41, 49, 57, 67, 95, 100, 120]
19                                  | 0            | 8        |  13.11%       | [21, 24, 31, 34, 55, 64, 100, 125]
17                                  | 12           | 8        |  13.11%       | [34, 45, 49, 58, 63, 65, 80, 125]
11                                  | 9            | 8        |  13.11%       | [21, 24, 30, 48, 53, 63, 75, 115]
11                                  | 8            | 8        |  13.11%       | [42, 45, 51, 54, 56, 61, 70, 80]
23                                  | 10           | 7        |  11.48%       | [39, 44, 46, 59, 68, 115, 125]
17                                  | 7            | 7        |  11.48%       | [29, 35, 38, 52, 56, 61, 120]
13                                  | 0            | 7        |  11.48%       | [35, 48, 56, 58, 60, 61, 66]
13                                  | 4            | 7        |  11.48%       | [37, 40, 43, 50, 64, 70, 80]
11                                  | 4            | 7        |  11.48%       | [22, 26, 27, 55, 57, 59, 125]
11                                  | 3            | 7        |  11.48%       | [29, 32, 47, 60, 62, 64, 68]
107                                 | 44           | 6        |   9.84%       | [30, 35, 39, 53, 55, 66]
29                                  | 10           | 6        |   9.84%       | [28, 32, 37, 39, 63, 105]
23                                  | 5            | 6        |   9.84%       | [25, 47, 48, 58, 60, 62]
19                                  | 18           | 6        |   9.84%       | [33, 52, 61, 62, 63, 67]
17                                  | 5            | 6        |   9.84%       | [23, 28, 44, 46, 57, 75]
17                                  | 4            | 6        |   9.84%       | [30, 37, 41, 62, 70, 115]
13                                  | 6            | 6        |   9.84%       | [21, 25, 30, 39, 55, 75]
13                                  | 10           | 6        |   9.84%       | [36, 38, 41, 45, 65, 85]
11                                  | 5            | 6        |   9.84%       | [25, 44, 46, 52, 66, 110]
11                                  | 1            | 6        |   9.84%       | [28, 38, 41, 58, 85, 100]
89                                  | 25           | 5        |   8.20%       | [42, 48, 61, 95, 105]
61                                  | 39           | 5        |   8.20%       | [23, 40, 75, 115, 120]
61                                  | 5            | 5        |   8.20%       | [31, 32, 36, 45, 59]
41                                  | 38           | 5        |   8.20%       | [24, 44, 65, 75, 120]
37                                  | 27           | 5        |   8.20%       | [41, 43, 52, 58, 70]
31                                  | 16           | 5        |   8.20%       | [23, 31, 37, 47, 105]
29                                  | 2            | 5        |   8.20%       | [29, 40, 42, 43, 64]
23                                  | 17           | 5        |   8.20%       | [24, 27, 54, 64, 110]
13                                  | 1            | 5        |   8.20%       | [23, 26, 28, 29, 52]
13                                  | 2            | 5        |   8.20%       | [24, 53, 63, 67, 110]
13                                  | 3            | 5        |   8.20%       | [31, 32, 42, 54, 125]
13                                  | 11           | 5        |   8.20%       | [44, 62, 69, 90, 115]
11                                  | 10           | 5        |   8.20%       | [31, 37, 40, 43, 95]
367                                 | 58           | 4        |   6.56%       | [31, 38, 67, 75]
103                                 | 28           | 4        |   6.56%       | [49, 54, 57, 80]
97                                  | 14           | 4        |   6.56%       | [33, 56, 61, 120]
79                                  | 57           | 4        |   6.56%       | [21, 32, 44, 100]
71                                  | 56           | 4        |   6.56%       | [24, 36, 58, 63]
67                                  | 19           | 4        |   6.56%       | [36, 39, 45, 49]
43                                  | 0            | 4        |   6.56%       | [27, 31, 51, 62]
41                                  | 30           | 4        |   6.56%       | [22, 28, 46, 110]
41                                  | 21           | 4        |   6.56%       | [33, 37, 64, 115]
37                                  | 13           | 4        |   6.56%       | [32, 33, 61, 66]
37                                  | 29           | 4        |   6.56%       | [39, 42, 59, 105]
31                                  | 11           | 4        |   6.56%       | [29, 54, 56, 69]
31                                  | 2            | 4        |   6.56%       | [43, 63, 90, 120]
31                                  | 26           | 4        |   6.56%       | [45, 50, 55, 115]
29                                  | 12           | 4        |   6.56%       | [26, 38, 49, 56]
29                                  | 22           | 4        |   6.56%       | [30, 34, 68, 95]
29                                  | 20           | 4        |   6.56%       | [33, 36, 48, 58]
29                                  | 5            | 4        |   6.56%       | [35, 41, 75, 120]
29                                  | 9            | 4        |   6.56%       | [44, 59, 90, 115]
23                                  | 8            | 4        |   6.56%       | [21, 38, 40, 75]
19                                  | 12           | 4        |   6.56%       | [22, 32, 51, 70]
19                                  | 15           | 4        |   6.56%       | [23, 29, 30, 90]
19                                  | 14           | 4        |   6.56%       | [25, 60, 85, 105]
19                                  | 3            | 4        |   6.56%       | [27, 38, 42, 75]
17                                  | 6            | 4        |   6.56%       | [21, 26, 43, 64]
17                                  | 16           | 4        |   6.56%       | [22, 33, 50, 53]
17                                  | 13           | 4        |   6.56%       | [25, 31, 54, 95]
17                                  | 0            | 4        |   6.56%       | [47, 66, 85, 100]
13                                  | 5            | 4        |   6.56%       | [22, 46, 51, 100]
11                                  | 0            | 4        |   6.56%       | [23, 33, 69, 105]
11                                  | 7            | 4        |   6.56%       | [39, 67, 90, 120]
2273                                | 236          | 3        |   4.92%       | [51, 66, 115]
1669                                | 250          | 3        |   4.92%       | [46, 55, 62]
1613                                | 871          | 3        |   4.92%       | [22, 50, 61]
1439                                | 773          | 3        |   4.92%       | [63, 95, 120]
1303                                | 24           | 3        |   4.92%       | [33, 55, 65]
1277                                | 62           | 3        |   4.92%       | [37, 42, 59]
1039                                | 787          | 3        |   4.92%       | [21, 53, 65]
1033                                | 410          | 3        |   4.92%       | [37, 39, 100]
1033                                | 783          | 3        |   4.92%       | [55, 62, 95]
883                                 | 367          | 3        |   4.92%       | [26, 59, 75]
827                                 | 249          | 3        |   4.92%       | [39, 47, 51]
667                                 | 125          | 3        |   4.92%       | [44, 59, 115]
631                                 | 570          | 3        |   4.92%       | [23, 70, 120]
601                                 | 469          | 3        |   4.92%       | [24, 27, 80]
601                                 | 547          | 3        |   4.92%       | [58, 65, 67]
541                                 | 40           | 3        |   4.92%       | [45, 48, 70]
523                                 | 65           | 3        |   4.92%       | [41, 51, 115]
409                                 | 102          | 3        |   4.92%       | [38, 52, 66]
401                                 | 18           | 3        |   4.92%       | [32, 36, 70]
397                                 | 308          | 3        |   4.92%       | [23, 27, 59]
397                                 | 166          | 3        |   4.92%       | [28, 47, 85]
359                                 | 267          | 3        |   4.92%       | [25, 55, 58]
349                                 | 105          | 3        |   4.92%       | [21, 43, 105]
349                                 | 283          | 3        |   4.92%       | [26, 30, 115]
313                                 | 227          | 3        |   4.92%       | [32, 59, 67]
281                                 | 93           | 3        |   4.92%       | [38, 46, 75]
271                                 | 164          | 3        |   4.92%       | [29, 51, 70]
239                                 | 234          | 3        |   4.92%       | [39, 75, 95]
223                                 | 89           | 3        |   4.92%       | [32, 43, 57]
211                                 | 113          | 3        |   4.92%       | [40, 59, 110]
199                                 | 103          | 3        |   4.92%       | [27, 32, 90]
197                                 | 59           | 3        |   4.92%       | [29, 33, 75]
179                                 | 124          | 3        |   4.92%       | [22, 69, 80]
179                                 | 119          | 3        |   4.92%       | [27, 45, 85]
179                                 | 170          | 3        |   4.92%       | [41, 43, 48]
167                                 | 148          | 3        |   4.92%       | [21, 39, 46]
167                                 | 0            | 3        |   4.92%       | [22, 31, 58]
167                                 | 85           | 3        |   4.92%       | [53, 62, 115]
157                                 | 10           | 3        |   4.92%       | [67, 85, 125]
151                                 | 88           | 3        |   4.92%       | [25, 53, 58]
137                                 | 3            | 3        |   4.92%       | [28, 37, 70]
137                                 | 11           | 3        |   4.92%       | [30, 47, 59]
137                                 | 21           | 3        |   4.92%       | [35, 61, 67]
131                                 | 74           | 3        |   4.92%       | [24, 31, 95]
131                                 | 65           | 3        |   4.92%       | [25, 41, 54]
131                                 | 68           | 3        |   4.92%       | [29, 52, 120]
127                                 | 64           | 3        |   4.92%       | [49, 69, 100]
113                                 | 8            | 3        |   4.92%       | [22, 25, 95]
113                                 | 2            | 3        |   4.92%       | [34, 61, 120]
109                                 | 75           | 3        |   4.92%       | [21, 115, 125]
109                                 | 74           | 3        |   4.92%       | [27, 41, 49]
109                                 | 8            | 3        |   4.92%       | [68, 85, 100]
109                                 | 87           | 3        |   4.92%       | [70, 90, 105]
107                                 | 47           | 3        |   4.92%       | [24, 52, 59]
103                                 | 24           | 3        |   4.92%       | [24, 55, 90]
101                                 | 26           | 3        |   4.92%       | [21, 22, 27]
97                                  | 59           | 3        |   4.92%       | [23, 50, 110]
97                                  | 30           | 3        |   4.92%       | [26, 32, 80]
89                                  | 85           | 3        |   4.92%       | [24, 64, 90]
89                                  | 45           | 3        |   4.92%       | [27, 32, 35]
89                                  | 87           | 3        |   4.92%       | [28, 40, 51]
89                                  | 41           | 3        |   4.92%       | [52, 60, 67]
83                                  | 40           | 3        |   4.92%       | [21, 54, 70]
83                                  | 39           | 3        |   4.92%       | [24, 27, 41]
83                                  | 60           | 3        |   4.92%       | [26, 38, 63]
83                                  | 71           | 3        |   4.92%       | [33, 36, 85]
83                                  | 65           | 3        |   4.92%       | [48, 52, 66]
83                                  | 73           | 3        |   4.92%       | [80, 90, 120]
79                                  | 27           | 3        |   4.92%       | [26, 33, 48]
79                                  | 59           | 3        |   4.92%       | [41, 43, 75]
73                                  | 49           | 3        |   4.92%       | [22, 35, 66]
73                                  | 61           | 3        |   4.92%       | [27, 47, 68]
73                                  | 8            | 3        |   4.92%       | [43, 75, 110]
71                                  | 64           | 3        |   4.92%       | [53, 75, 125]
67                                  | 7            | 3        |   4.92%       | [22, 25, 56]
67                                  | 32           | 3        |   4.92%       | [28, 34, 85]
61                                  | 20           | 3        |   4.92%       | [22, 38, 66]
61                                  | 21           | 3        |   4.92%       | [30, 51, 110]
61                                  | 56           | 3        |   4.92%       | [61, 64, 85]
59                                  | 15           | 3        |   4.92%       | [25, 31, 55]
59                                  | 29           | 3        |   4.92%       | [26, 75, 120]
59                                  | 52           | 3        |   4.92%       | [34, 50, 54]
59                                  | 4            | 3        |   4.92%       | [35, 65, 90]
59                                  | 0            | 3        |   4.92%       | [42, 70, 85]
59                                  | 25           | 3        |   4.92%       | [56, 80, 125]
59                                  | 7            | 3        |   4.92%       | [60, 110, 115]
53                                  | 12           | 3        |   4.92%       | [21, 30, 38]
53                                  | 18           | 3        |   4.92%       | [22, 43, 50]
53                                  | 2            | 3        |   4.92%       | [27, 42, 64]
53                                  | 31           | 3        |   4.92%       | [32, 58, 90]
53                                  | 45           | 3        |   4.92%       | [33, 95, 120]
53                                  | 43           | 3        |   4.92%       | [34, 54, 67]
53                                  | 47           | 3        |   4.92%       | [44, 45, 48]
53                                  | 0            | 3        |   4.92%       | [51, 52, 125]
47                                  | 5            | 3        |   4.92%       | [24, 33, 105]
47                                  | 15           | 3        |   4.92%       | [26, 44, 57]
47                                  | 18           | 3        |   4.92%       | [35, 36, 69]
47                                  | 2            | 3        |   4.92%       | [38, 43, 64]
47                                  | 25           | 3        |   4.92%       | [39, 53, 65]
47                                  | 12           | 3        |   4.92%       | [55, 67, 125]
43                                  | 30           | 3        |   4.92%       | [23, 39, 45]
43                                  | 26           | 3        |   4.92%       | [24, 53, 67]
43                                  | 1            | 3        |   4.92%       | [25, 69, 125]
43                                  | 27           | 3        |   4.92%       | [26, 66, 120]
43                                  | 19           | 3        |   4.92%       | [28, 38, 115]
43                                  | 31           | 3        |   4.92%       | [40, 43, 58]
43                                  | 7            | 3        |   4.92%       | [41, 59, 110]
41                                  | 15           | 3        |   4.92%       | [21, 27, 50]
41                                  | 18           | 3        |   4.92%       | [32, 43, 56]
41                                  | 12           | 3        |   4.92%       | [36, 48, 61]
41                                  | 36           | 3        |   4.92%       | [40, 53, 95]
41                                  | 33           | 3        |   4.92%       | [41, 105, 125]
37                                  | 22           | 3        |   4.92%       | [21, 57, 95]
37                                  | 32           | 3        |   4.92%       | [22, 36, 50]
37                                  | 11           | 3        |   4.92%       | [26, 28, 110]
37                                  | 26           | 3        |   4.92%       | [37, 47, 64]
37                                  | 28           | 3        |   4.92%       | [49, 53, 55]
37                                  | 31           | 3        |   4.92%       | [56, 80, 100]
37                                  | 33           | 3        |   4.92%       | [60, 69, 125]
37                                  | 18           | 3        |   4.92%       | [63, 75, 115]
31                                  | 5            | 3        |   4.92%       | [24, 30, 53]
31                                  | 20           | 3        |   4.92%       | [33, 40, 62]
31                                  | 22           | 3        |   4.92%       | [36, 42, 70]
29                                  | 26           | 3        |   4.92%       | [25, 60, 66]
29                                  | 11           | 3        |   4.92%       | [51, 52, 67]
23                                  | 4            | 3        |   4.92%       | [23, 28, 66]
23                                  | 20           | 3        |   4.92%       | [26, 31, 36]
23                                  | 14           | 3        |   4.92%       | [30, 35, 61]
23                                  | 11           | 3        |   4.92%       | [33, 52, 56]
23                                  | 3            | 3        |   4.92%       | [34, 37, 70]
23                                  | 2            | 3        |   4.92%       | [42, 65, 85]
19                                  | 8            | 3        |   4.92%       | [26, 54, 68]
19                                  | 11           | 3        |   4.92%       | [35, 50, 80]
19                                  | 2            | 3        |   4.92%       | [36, 110, 120]
19                                  | 1            | 3        |   4.92%       | [37, 56, 59]
19                                  | 16           | 3        |   4.92%       | [39, 48, 65]
19                                  | 7            | 3        |   4.92%       | [41, 45, 115]
19                                  | 4            | 3        |   4.92%       | [46, 66, 95]
19                                  | 5            | 3        |   4.92%       | [47, 49, 53]
17                                  | 10           | 3        |   4.92%       | [39, 51, 90]
13                                  | 12           | 3        |   4.92%       | [27, 47, 49]
13                                  | 7            | 3        |   4.92%       | [33, 59, 95]
